file,node_id,veg,kind,menu,menu_asserts,menu_building,open,open_asserts,open_building
Tunnel_Exit_Street/north_to_south/016_n00251_S.jpg,n00251,0.009884249999999999,bare,There are street trees visible along the sidewalk on the right side of the image.,True,False,"There are trees visible on the right side of the image, near the buildings.",True,False
madison_avenue/south_to_north/033_n00755_N.jpg,n00755,0.002354,bare,There is no visible vegetation in the image.,False,False,There is no visible vegetation in this view.,False,False
east_41st_street/east_to_west/036_n00605_W.jpg,n00605,0.0051575,bare,There are no visible greenery or vegetation on the buildings or at ground level.,False,True,"There are small plants visible on the sidewalk, specifically on the left side of the image near the white car.",True,False
east_34th_street/east_to_west/045_n00269_W.jpg,n00269,0.00394775,bare,There are no visible greenery or vegetation on the buildings or at ground level.,False,True,"There is a potted plant visible on the sidewalk, near the intersection.",True,False
east_41st_street/west_to_east/008_n00602_E.jpg,n00602,0.0031894999999999996,bare,"There are no visible greenery or vegetation on the buildings, and no street trees or planting at ground level.",False,True,"There are small bushes visible on the sidewalk, located near the street lamps and between the buildings.",True,False
lexington_avenue/south_to_north/031_n00719_N.jpg,n00719,0.0013032500000000002,bare,There is no visible vegetation in the image.,False,False,There are no visible plants or vegetation in this view.,False,False
madison_avenue/north_to_south/017_n00740_S.jpg,n00740,0.00087325,bare,There is no visible vegetation in the image.,False,False,There is no visible vegetation in this view.,False,False
east_42nd_street/east_to_west/030_n00658_W.jpg,n00658,0.00023150000000000002,bare,There is no visible vegetation in the image.,False,False,There is no visible vegetation in this view.,False,False
east_34th_street/east_to_west/047_n00267_W.jpg,n00267,0.008901000000000001,bare,"There are street trees visible along the sidewalk, providing greenery to the urban environment.",True,False,"There are trees visible on the sidewalk, located between the buildings and the street.",True,False
east_42nd_street/east_to_west/043_n00645_W.jpg,n00645,0.00670725,bare,There is no visible vegetation in the image.,False,False,There is no visible vegetation in this view.,False,False
1st_avenue/south_to_north/020_n00019_N.jpg,n00019,0.0039984999999999995,bare,There is no visible vegetation in the image.,False,False,There is no visible vegetation in this view.,False,False
